# Material Designer imported-tree preservation inventory
# Generated from the committed index, pinned upstream manifest, MODIFICATIONS.md, and Git history.
# kind	path	local-mode	local-oid	upstream-mode	upstream-oid	owner-commit
oid-different	apps/web/src/components/UpdaterPopup.module.css	100644	4e7665b1e146cd3ab67f4e3bf4b8506d466b0517	100644	d24c91d761f49fd9c5324dc7dc69d4ee018b795d	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/analytics/export-error-code.test.ts	100644	614be3cd43ca7876cbc91e8576d2454cb4e53f9d	100644	9c8cc31876ef73489b91da736222d73270f9ed6c	5ef73934884da860b6f53bcd7cd495977b7e1f6a
oid-different	apps/web/tests/campaigns/deepseek-v4-flash-modal.test.tsx	100644	fb392a6517b6b6da703139525c4e3d67e854d52a	100644	f2c22615b45fd70058b70a1b8665ab2c2b25c1e0	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/campaigns/deepseek-v4-flash-ui-contract.test.ts	100644	cf8985f0d2fdbfb92b7f4d174826b9021fd094ca	100644	2f898bec85a0ba867ee0dc887bdc01372bf94626	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/campaigns/deepseek-v4-flash.test.ts	100644	fe9aafc73563498bb806806038b99695d5847d44	100644	b9a7acedd523fc5a0b1eca4f78d56df1b4735287	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/campaigns/go-plan.test.ts	100644	7681c8fbb6babf5f438a72411e7ac282d30f9646	100644	5c3a2b9d7c474c524fb5bfddd0f55f6f36413936	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/EntryNavRail.credits-zero-balance.test.tsx	100644	319c2f8ceb9287aca9a441ccff08eae1b4f5a3f5	100644	91e232b00a6daa1cbd4cead8592cdcfc831a9a65	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/EntryNavRail.updater-after-avatar.test.tsx	100644	3b12a02b2a53112c1c5ee9d2452dedf4d0396291	100644	c14177d25d51edd07b46ed5936e4edf5c4792543	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/FileViewer.manual-edit-history.test.tsx	100644	883f9d676a41e7f71f40a918cc800d5049ced9d8	100644	8d1a9bda294e5dc7e905883ffa923238e0c7bba3	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/FileViewer.manual-edit.test.tsx	100644	f192babb55547b30e9e40624d7033e717352501d	100644	287ada009ff0954eb79e8212f6e1ba8beb5471fe	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/InlineModelSwitcher.unlimited-badge.test.tsx	100644	29022cb2ef7537441d97b6e8bc7dcea3d94ad207	100644	7b88d1b77f65f3f104740c45dae06659a4afb8de	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/components/MessageCenter.test.tsx	100644	82253e874fb264d3aadb162ebd98ed01fc8d534c	100644	104f8add181022d14379a493688000922ce228f9	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/runtime/amr-unlimited-models.plan-tier.test.ts	100644	f83fe4e1dd6b5d36c84acdd32a7fa885bddca5cc	100644	bc374279958cdf4d3e3f5e921fa6a1b1f65e6c9a	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/runtime/preview-observability-bridge.test.ts	100644	de30bc335ee4d5620d17c6150c7674e6860f4aa7	100644	e19e800f78594e8d53d534fbc24375e65cd04df4	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/runtime/srcdoc-deck-bridge-framework-deck.test.ts	100644	1560b24138b380f27ca4541736402d7ba120945d	100644	3b9e807f359ccb0873ca85d8d4415c1ddbaf3e18	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/tests/runtime/srcdoc.test.ts	100644	4a8fb43c5ac11e433a2295c704007d279434ab6b	100644	1e4b364af4a4da9cbf47b950a7079b98e07d93dd	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	design-templates/ib-pitch-book/example.html	100644	33ff6837f1bcf73b8f79b9e990de15ddfac8fb52	100644	9eadcc58519e82da6de8a92f3e3f0cf5b549a320	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	e2e/package.json	100644	ae1e87e4a2ad3a934548a1d798e4a2b9f7e288fb	100644	026e3d1d0511685863322fc582bda14b2e0adb1b	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	e2e/tests/packaged-smoke-workflow.test.ts	100644	ade5c04c50c4aba50e9f1bd36615bff1b10ebf18	100644	61a783e19ba4c0058d22b440a8434bb444594950	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	e2e/tests/pricing-unlimited-models.test.ts	100644	b7223ee4e85fff77856ea4cdd368a39139a5f9e5	100644	68218d5a5dbba52d50254ab2d70799228e178b83	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	e2e/tests/scripts/scopes.test.ts	100644	3b88409e57a6576e7b34ddfda0a88b98ac3e7144	100644	bef70d46b35629935c3350a7b495825b44b91005	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	e2e/ui/amr-onboarding.test.ts	100644	8a004b2664eacc0d339738887b30f1e57360cdd0	100644	29ebc38b07e86d9d37590b99b41bb90d2cf8d41c	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	package.json	100644	632f81c47ec427a33c4af5570e6554c12c3fd633	100644	2f459f89cc2a629a4db7da8528224b325875fb6c	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/contracts/package.json	100644	829c4a8c917a92136e18be9f2dc6d7d3cec9a120	100644	669ea4560c4f20105728d7062f122b0719732b71	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/download/package.json	100644	9792c2cd9fecc0dc59b4b6034072cbd1669059a1	100644	60fd38d9610f91e7f5e8fb8b7d6df468ec82a434	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/host/package.json	100644	e0758b85a1c5ff943d5f4c6ce66e16352cdc3069	100644	099300e83451f35a31c7818d34330abc6ecc16e6	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/launcher-proto/package.json	100644	7bb2d8be00af32b5533c33c1da39886db2493899	100644	c7b8ea3f9957dc709f6f1e27d6e2aaab58496e89	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/platform/package.json	100644	1c08b795c535fbec395eaef610c17b99e03043f4	100644	7f64096333375fde82a584572611c5b3b8dc7079	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/release/package.json	100644	5289bda51967d56d641a89d95396e9d81ee253e9	100644	b1960db645f015cb2d6195485cc4ed0e30e5bc14	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	packages/sidecar-proto/package.json	100644	252c09c183c5d9a2d2a7c9b34be396115b236588	100644	549d7bbddacc9bacc97a71b0a4bcdfe149385a93	98e43e560e57f992c088c85beb013d38d1762ca7
